"ID","Profile.ID","Lat","Lon","Soil.Order","Suborder","Ecoregions","Landcover"
5,"S04AK050-001",61.34746,-160.588025,"Gelisol","Turbel",1,51
6,"S04AK050-002",61.51328,-158.2677333,"Gelisol","Turbel",8,51
11,"00AK068001",63.48356,-150.15,"Gelisol","Orthel",3,51
18,"00AK068010",63.48336,-151.1668611,"Gelisol","Turbel",3,51
20,"S04AK-068-001",64.21378,-149.3934167,"Gelisol","Turbel",8,41
22,"S04AK-068-003",64.34433,-149.1415278,"Gelisol","Turbel",8,90
39,"96AK090001",64.86958,-147.8576111,"Gelisol","Orthel",8,41
41,"96AK090003",64.86564,-147.8535833,"Gelisol","Histel",8,41
42,"S03AK-090-001",65.10294,-147.882,"Gelisol","Orthel",8,41
45,"S03AK-090-006",64.86685,-147.8747333,"Gelisol","Turbel",8,41
48,"S04AK-090-001",64.80589,-148.4186111,"Gelisol","Orthel",8,90
50,"S07AK001-007",65.07717,-145.8726667,"Gelisol","Turbel",8,41
51,"S07AK001-008",65.07692,-145.87325,"Gelisol","Turbel",8,41
76,"93AK180004",66.54361,-164.0977778,"Gelisol","Orthel",6,11
77,"93AK180005",66.54333,-164.0980556,"Gelisol","Histel",6,51
78,"93AK180006",66.55806,-164.4619444,"Gelisol","Orthel",6,51
79,"93AK180007",66.56389,-164.4566667,"Gelisol","Histel",6,71
82,"99AK180003",64.84239,-163.6942222,"Gelisol","Histel",6,51
83,"92AK185003",71.3125,-156.5944444,"Gelisol","Turbel",5,71
84,"93AK185002",68.60028,-149.6358333,"Gelisol","Turbel",5,51
85,"93AK185003",69.14639,-148.8538889,"Gelisol","Turbel",5,51
86,"93AK185004",68.63361,-149.6358333,"Gelisol","Orthel",5,71
87,"93AK185005",68.63056,-149.5822222,"Gelisol","Orthel",5,51
88,"93AK185006",68.61528,-149.3113889,"Gelisol","Turbel",5,51
89,"93AK185007",67.57167,-149.79,"Gelisol","Orthel",5,51
90,"93AK185009",67.43778,-150.145,"Gelisol","Histel",5,51
91,"93AK185010",67.20028,-150.2702778,"Gelisol","Turbel",5,41
92,"95AK185001",70.28306,-148.8891667,"Gelisol","Orthel",5,71
93,"95AK185002",70.275,-148.9167778,"Gelisol","Orthel",5,71
94,"95AK185004",70.27483,-148.9158611,"Gelisol","Orthel",5,71
95,"95AK185005",69.93503,-148.8080556,"Gelisol","Turbel",5,71
96,"95AK185006",69.93333,-148.8,"Gelisol","Turbel",5,71
97,"95AK185007",68.62431,-149.6167222,"Gelisol","Turbel",5,51
98,"95AK185010",68.61078,-149.3125556,"Gelisol","Histel",5,51
99,"95AK185012",68.61158,-149.3073333,"Gelisol","Orthel",5,51
100,"95AK185013",69.44108,-148.6666389,"Gelisol","Turbel",5,71
101,"95AK185014",69.40197,-148.7974444,"Gelisol","Turbel",5,51
102,"95AK185016",69.06464,-148.7453333,"Gelisol","Turbel",5,71
105,"95AK185021",68.61586,-149.2995,"Gelisol","Turbel",5,51
106,"96AK185001",69.40467,-148.7851111,"Gelisol","Turbel",5,51
107,"96AK185002",70.26722,-148.8851389,"Gelisol","Histel",5,71
108,"96AK185003",70.45297,-157.4075833,"Gelisol","Orthel",5,71
109,"96AK185004",70.46258,-157.3741111,"Gelisol","Turbel",5,11
111,"S01AK-185-005",70.37642,-148.5524667,"Gelisol","Histel",5,71
115,"S04AK-185-006",68.0693,-149.5801,"Gelisol","Turbel",5,51
116,"S04AK-185-007",67.56175,-149.8264583,"Gelisol","Turbel",5,51
120,"S03AK-185-005",69.41192,-148.7258611,"Gelisol","Turbel",5,51
121,"S03AK-185-004",69.9841,-148.6919722,"Gelisol","Turbel",5,71
123,"S07AK001-003",70.28064,-148.8973333,"Gelisol","Turbel",5,90
130,"91AK240002",63.90694,-145.27,"Gelisol","Orthel",8,41
139,"S02AK-174-001",63.35244,-142.9833056,"Gelisol","Orthel",8,41
143,"S03AK-240-009",63.72325,-144.6629167,"Gelisol","Turbel",8,41
147,"S03AK-240-013",63.35636,-142.9834722,"Gelisol","Orthel",8,41
149,"S03AK-240-015",63.72225,-144.6628611,"Gelisol","Turbel",8,41
173,"S02AK-176-001",62.39861,-142.4855556,"Gelisol","Orthel",9,51
188,"S06AK002013",66.74472,-150.6675,"Gelisol","Turbel",8,51
189,"S06AK002014",67.25333,-150.1833333,"Gelisol","Orthel",5,41
195,"S09AK290004",65.35194,-143.5702778,"Gelisol","Turbel",8,41
198,"S09AK290007",64.91222,-143.3902778,"Gelisol","Turbel",8,71
199,"S09AK290008",65.35611,-143.8494444,"Gelisol","Histel",8,71
201,"Umishra_missing1",68.62278,-149.6098611,"Gelisol","Turbel",5,51
